Generation,Best Score,Worst Score,Median Score
0,168939391.49188378,-121485456.30620475,374495.6721456083
1,245499270.2520447,-408854689.798609,482433.4056430123
2,245499270.2520447,-314951055.57808876,889657.5555635656
3,291169616.2047843,-567095891.1071982,735545.189205074
4,297011810.10279685,-219703645.61154357,507161.700065104
5,331251562.5195962,-419755702.6732534,671071.4180212873
6,331251562.5195962,-389265368.72688967,927762.6895603698
7,365507991.3669501,-274194951.96292716,1041920.9311685228
8,548626016.3796228,-394571241.1844366,1298098.9527277313
9,633445394.5274804,-390773021.53370243,748296.5948166775
10,642576946.6915784,-484536039.8590931,1103311.8003729752
11,642576946.6915784,-824362119.8429841,456168.7246669454
12,642576946.6915784,-824362120.8598533,1160123.4808229133
13,655469976.8132564,-530363292.41724837,1828796.6060339285
14,655469976.8132564,-683125496.0110732,1000169.4169727196
15,655469976.8132564,-589677439.2877818,1575938.4568030082
16,655469978.3041488,-580714889.7884299,2050280.1431290794
17,730345229.6711813,-824362119.370406,1243894.0867325491
18,730345229.6711813,-824362124.0567235,1295989.2572879808
19,730345229.6711813,-824362119.370406,1832681.7265703257
20,730345229.6711813,-397657075.14853275,1248075.9086049248
21,786481775.1379158,-567095901.7936946,3301374.1984414523
22,832935322.734593,-824362111.8017337,2097052.6438722608
23,832935322.734593,-738481744.8679054,1877217.499819426
24,832935322.734593,-419495058.74461657,2971949.786714499
25,832935322.734593,-824362118.4589242,1678929.8253720163
26,832935322.734593,-824362119.8429841,3699781.4174164324
27,832935322.734593,-824362120.8598533,2599218.948467695
28,832935322.734593,-824362119.370406,2436235.4505676855
29,832935322.734593,-824362120.2248937,3021377.2719424907
30,832935322.734593,-824362121.9784113,2824618.2313985103
31,832935322.734593,-824362124.0977,4545201.036545336
32,832935322.734593,-505320827.99525946,1793412.030256563
33,836161336.6372714,-749329770.2695922,2957209.2216667063
34,836161336.6372714,-737940660.0092047,3211927.4875359638
35,836161336.6372714,-578474424.8842119,9009028.508793328
36,836161336.6372714,-417058191.56445867,10751488.113467516
37,836161336.6372714,-775383597.7127042,3641427.879213138
38,836161339.6477113,-796662559.1041325,4733714.460480518
39,836161339.6477113,-778386710.8347466,6570081.869717354
40,836161339.6477113,-755820660.053119,13152654.194762293
41,836161339.6477113,-505320828.1626584,4904186.649543117
42,836161339.6477113,-538422557.6640977,23033139.63205207
43,836161339.6477113,-737940672.0917884,17203159.466384284
44,836161339.6477113,-453401431.62674713,8736353.02869177
45,836161339.6477113,-467483764.9887421,8116713.761547188
46,836161339.6477113,-796662563.0558285,6599808.708746575
47,836161339.6477113,-796662559.1041325,9820887.333649848
48,836161341.0409728,-554331608.110288,17167241.674745068
49,836161341.0409728,-778386707.5190868,11403720.033000017
50,836161341.0409728,-796662561.227015,6804459.060955285
51,836161341.0409728,-796662555.2146146,31118104.028273545
52,836161345.599793,-796662561.227015,8992879.600654555
53,836161345.599793,-540507914.1811714,8086958.964419564
54,836161345.599793,-778386710.0033636,21822783.333014347
55,836161345.599793,-569292296.1795416,48391320.34676018
