Generation,Best Score,Worst Score,Median Score
0,11.0,0.0,0.0
25,12.0,0.0,0.0
50,15.0,0.0,0.0
75,18.0,0.0,0.0
100,19.0,0.0,0.0
125,19.0,0.0,0.0
150,27.0,0.0,0.0
175,27.0,0.0,0.0
200,27.0,0.0,0.0
225,27.0,0.0,0.0
250,27.0,0.0,0.0
275,27.0,0.0,0.0
300,27.0,0.0,0.0
325,27.0,0.0,0.0
350,27.0,0.0,0.0
375,27.0,0.0,0.0
400,27.0,0.0,0.0
425,27.0,0.0,0.0
450,27.0,0.0,0.0
475,27.0,0.0,0.0
500,27.0,0.0,0.0
525,27.0,0.0,0.0
550,27.0,0.0,0.0
575,27.0,0.0,0.0
600,27.0,0.0,0.0
625,27.0,0.0,0.0
650,27.0,0.0,0.0
675,27.0,0.0,0.0
700,27.0,0.0,0.0
725,27.0,0.0,0.0
750,27.0,0.0,0.0
775,27.0,0.0,0.0
800,27.0,0.0,0.0
825,27.0,0.0,0.0
850,27.0,0.0,27.0
875,27.0,0.0,0.0
900,27.0,0.0,0.0
925,27.0,0.0,0.0
950,27.0,0.0,0.0
975,27.0,0.0,0.0
1000,27.0,0.0,25.0
1025,27.0,0.0,0.0
1050,27.0,0.0,27.0
1075,27.0,0.0,0.0
1100,27.0,0.0,0.0
1125,27.0,0.0,0.0
1150,27.0,0.0,27.0
1175,27.0,0.0,0.0
1200,27.0,0.0,0.0
1225,27.0,0.0,26.0
1250,27.0,0.0,12.0
1275,27.0,0.0,0.0
1300,27.0,0.0,0.0
1325,27.0,0.0,0.0
1350,27.0,0.0,0.0
1375,27.0,0.0,0.0
1400,27.0,0.0,25.0
1425,27.0,0.0,27.0
1450,27.0,0.0,27.0
1475,27.0,0.0,26.0
1500,27.0,0.0,0.0
1525,27.0,0.0,14.0
1550,27.0,0.0,12.0
1575,27.0,0.0,0.0
1600,27.0,0.0,27.0
1625,27.0,0.0,0.0
1650,27.0,0.0,0.0
1675,27.0,0.0,0.0
1700,27.0,0.0,26.0
1725,27.0,0.0,0.0
1750,27.0,0.0,27.0
1775,27.0,0.0,27.0
1800,27.0,0.0,25.0
1825,27.0,0.0,26.0
1850,27.0,0.0,27.0
1875,27.0,0.0,27.0
1900,27.0,0.0,0.0
1925,27.0,0.0,27.0
1950,27.0,0.0,27.0
1975,27.0,0.0,27.0
2000,27.0,0.0,19.0
2025,27.0,0.0,27.0
2050,27.0,0.0,0.0
2075,27.0,0.0,27.0
2100,27.0,0.0,20.0
2125,27.0,0.0,27.0
2150,27.0,0.0,27.0
2175,27.0,0.0,15.0
2200,27.0,0.0,26.0
2225,27.0,0.0,0.0
2250,27.0,0.0,27.0
2275,27.0,0.0,27.0
2300,27.0,0.0,27.0
2325,27.0,0.0,27.0
2350,27.0,0.0,27.0
2375,27.0,0.0,27.0
2400,27.0,0.0,27.0
2425,27.0,0.0,27.0
2450,27.0,0.0,0.0
2475,27.0,0.0,27.0
2500,27.0,0.0,0.0
2525,27.0,0.0,15.0
2550,27.0,0.0,15.0
2575,27.0,0.0,27.0
2600,27.0,0.0,27.0
2625,27.0,0.0,25.0
2650,27.0,0.0,27.0
2675,27.0,0.0,27.0
2700,27.0,0.0,27.0
2725,27.0,0.0,0.0
2750,27.0,0.0,25.0
2775,27.0,0.0,25.0
2800,27.0,0.0,15.0
2825,27.0,0.0,0.0
2850,27.0,0.0,27.0
2875,27.0,0.0,0.0
2900,27.0,0.0,27.0
2925,27.0,0.0,12.0
2950,27.0,0.0,27.0
2975,27.0,0.0,27.0
3000,27.0,0.0,27.0
3025,27.0,0.0,27.0
3050,27.0,0.0,27.0
3075,27.0,0.0,27.0
3100,27.0,0.0,0.0
3125,27.0,0.0,27.0
3150,27.0,0.0,27.0
3175,27.0,0.0,27.0
3200,27.0,0.0,27.0
3225,27.0,0.0,27.0
3250,27.0,0.0,27.0
3275,27.0,0.0,27.0
3300,27.0,0.0,20.0
3325,27.0,0.0,27.0
3350,27.0,0.0,25.0
3375,27.0,0.0,27.0
3400,27.0,0.0,27.0
3425,27.0,0.0,27.0
3450,27.0,0.0,27.0
3475,27.0,0.0,25.0
3500,27.0,0.0,27.0
3525,27.0,0.0,27.0
3550,27.0,0.0,27.0
3575,27.0,0.0,27.0
3600,27.0,0.0,27.0
3625,27.0,0.0,27.0
3650,27.0,0.0,27.0
3675,27.0,0.0,27.0
3700,27.0,0.0,27.0
3725,27.0,0.0,27.0
3750,27.0,0.0,27.0
3775,27.0,0.0,27.0
3800,27.0,0.0,27.0
3825,27.0,0.0,27.0
3850,27.0,0.0,27.0
3875,27.0,0.0,27.0
3900,27.0,0.0,27.0
3925,27.0,0.0,27.0
3950,27.0,0.0,27.0
3975,27.0,0.0,27.0
4000,27.0,0.0,27.0
4025,27.0,0.0,27.0
4050,27.0,0.0,27.0
4075,27.0,0.0,27.0
4100,27.0,0.0,27.0
4125,27.0,0.0,27.0
4150,27.0,0.0,27.0
4175,27.0,0.0,27.0
4200,27.0,0.0,27.0
4225,27.0,0.0,12.0
4250,27.0,0.0,27.0
4275,27.0,0.0,27.0
4300,27.0,0.0,27.0
4325,27.0,0.0,27.0
4350,27.0,0.0,27.0
4375,27.0,0.0,27.0
4400,27.0,0.0,27.0
4425,27.0,0.0,27.0
4450,27.0,0.0,21.0
4475,27.0,0.0,27.0
4500,27.0,0.0,27.0
4525,27.0,0.0,27.0
4550,27.0,0.0,27.0
4575,27.0,0.0,27.0
4600,27.0,0.0,27.0
